# Global Carbon Budget 2019 — Historical Budget
#
# Historical CO2 budget
# All values in billion tonnes of carbon per year (GtC/yr), for the globe. For values in billion tonnes of carbon dioxide (CO2) per year, multiply the numbers below by 3.664.
# 1 billion tonnes C = 1 petagram of carbon (10^15 gC) = 1 gigatonne C = 3.664 billion tonnes of CO2
# Please note: The methods used to estimate the historical fluxes presented below differ from the carbon budget presented from 1959 onwards. For example, the atmospheric growth and ocean sink do not account for year-to-year variability before 1958.
# Uncertainties: see the original papers for uncertainties
# Cite as:
# Fossil fuel combustion and cement production emissions:  Gilfillan, D., Marland, G., Boden, T. and Andres, R.: Global, Regional, and National Fossil-Fuel CO2 Emissions, available at: https://energy.appstate.edu/CDIAC, last access: 27 September 2019, 2019.
# Land-use change emissions as average of two bookkeeping models: Houghton, R. A. and Nassikas, A. A.: Global and regional fluxes of carbon from land use and land cover change 1850-2015, Global Biogeochemical Cycles, 31, 456-472, 2017;  Hansis, E., Davis, S. J., and Pongratz, J.: Relevance of methodological choices for accounting of land use change carbon fluxes, Global Biogeochemical Cycles, 29, 1230-1246, 2015.
# Atmospheric CO2 growth rate: Joos, F. and Spahni, R.: Rates of change in natural and anthropogenic radiative forcing over the past 20,000 years, Proceedings of the National Academy of Science, 105, 1425-1430, 2008.
# The ocean CO2 sink is the average of the two diagnostic ocean models: DeVries, T.: The oceanic anthropogenic CO2 sink: Storage, air-sea fluxes, and transports over the industrial era, Global Biogeochemical Cycles, 28, 631-647, 2014; and Khatiwala, S., Tanhua, T., Mikaloff Fletcher, S. E., Gerber, M., Doney, S. C., Graven, H. D., Gruber, N., McKinley, G. A., Murata, A., Rios, A. F., and Sabine, C. L.: Global ocean storage of anthropogenic carbon, Biogeosciences, 10, 2169-2191, 2013.
# The land sink is the average of several dynamic global vegetation models that reproduce the observed mean total land sink of the 1990s.
# The budget imbalance is the sum of emissions (fossil fuel and industry + land-use change) minus (atmospheric growth + ocean sink + land sink); it is a measure of our imperfect data and understanding of the contemporary carbon cycle.
#
#
#
#
# Generated with openclimatedata 0.36 from the GCB Excel file from https://doi.org/10.18160/gcp-2019
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,fossil fuel and industry,land-use change emissions,atmospheric growth,ocean sink,land sink,budget imbalance
1750,,,-0.07759200000000001,,0.2139430839343019,
1751,0.003,,-0.073988,,-0.508879621465544,
1752,0.003,,-0.070596,,-0.3592925914543791,
1753,0.003,,-0.067628,,0.01455095833925489,
1754,0.003,,-0.06402400000000001,,-0.2700701048120807,
1755,0.003,,-0.05808800000000001,,-0.11416939678969254,
1756,0.003,,-0.050244,,0.32343286578799396,
1757,0.003,,-0.04028,,0.5218306241383505,
1758,0.003,,-0.028408000000000003,,-0.011192030287125808,
1759,0.003,,-0.014204000000000001,,-0.5403550827474148,
1760,0.003,,0.001908,,-0.02960953978169044,
1761,0.003,,0.02014,,-0.649256790403203,
1762,0.003,,0.040492,,-0.5806798610632211,
1763,0.003,,0.062752,,0.35477832509565455,
1764,0.003,,0.087344,,0.4895469387700436,
1765,0.003,,0.11236,,-0.23084866813481614,
1766,0.003,,0.135256,,0.1761303114380281,
1767,0.003,,0.156032,,0.308281264820854,
1768,0.003,,0.174476,,0.32410190096636493,
1769,0.003,,0.190588,,0.08527423932210389,
1770,0.003,,0.20458,,0.14375617417797493,
1771,0.004,,0.216452,,-0.19903235756343454,
1772,0.004,,0.225992,,-0.3089187613362877,
1773,0.004,,0.23320000000000002,,0.027356907878400154,
1774,0.004,,0.238288,,-0.08820334181088749,
1775,0.004,,0.24252800000000002,,0.0635586740974309,
1776,0.004,,0.24846400000000002,,0.4209917378665267,
1777,0.004,,0.256308,,0.637924199850806,
1778,0.004,,0.26606,,0.09809152219472443,
1779,0.004,,0.27772,,-0.3875933828494966,
1780,0.004,,0.29150000000000004,,0.24034209801291823,
1781,0.005,,0.31482,0.07433000000000001,-0.5068638402354966,
1782,0.005,,0.348316,0.082155,-0.46741772938419535,
1783,0.005,,0.378844,0.08951999999999999,0.647223841813109,
1784,0.005,,0.40598,0.10207000000000001,0.765466266000273,
1785,0.005,,0.429512,0.104205,0.052012247419807776,
1786,0.005,,0.44944,0.11673,0.3997675051290439,
1787,0.005,,0.465764,0.12393,0.517398518217188,
1788,0.005,,0.478696,0.131105,0.5319706257834792,
1789,0.005,,0.488024,0.13301,0.20853920228232878,
1790,0.005,,0.493748,0.14018999999999998,0.41873223673566634,
1791,0.006,,0.49586800000000003,0.147095,-0.1104482639378897,
